ident,iata,name,type,lat,lon,municipality,region
5A8,WKK,Aleknagik / New Airport,medium_airport,59.2826004028,-158.617996216,Aleknagik,US-AK
K61B,BLD,Boulder City Municipal Airport,medium_airport,35.947161,-114.858799,Boulder City,US-NV
KABE,ABE,Lehigh Valley International Airport,medium_airport,40.651773,-75.442797,Allentown/Bethlehem,US-PA
KABI,ABI,Abilene Regional Airport,medium_airport,32.4113006592,-99.68190002440001,Abilene,US-TX
KABQ,ABQ,Albuquerque International Sunport,large_airport,35.039976,-106.608925,Albuquerque,US-NM
KABR,ABR,Aberdeen Regional Airport,medium_airport,45.449100494384766,-98.42179870605469,Aberdeen,US-SD
KABY,ABY,Southwest Georgia Regional Airport,medium_airport,31.532946,-84.196215,Albany,US-GA
KACK,ACK,Nantucket Memorial Airport,medium_airport,41.25310135,-70.06020355,Nantucket,US-MA
KACT,ACT,Waco Regional Airport,medium_airport,31.611299514770508,-97.23049926757812,Waco,US-TX
KACV,ACV,California Redwood Coast-Humboldt County Airport,medium_airport,40.978101,-124.109,Arcata/Eureka,US-CA
KACY,ACY,Atlantic City International Airport,medium_airport,39.456201,-74.577511,Atlantic City,US-NJ
KAEX,AEX,Alexandria International Airport,medium_airport,31.325828,-92.546702,Alexandria,US-LA
KAGS,AGS,Augusta Regional At Bush Field,medium_airport,33.3699,-81.9645,Augusta,US-GA
KAIA,AIA,Alliance Municipal Airport,medium_airport,42.052543,-102.803965,Alliance,US-NE
KALB,ALB,Albany International Airport,large_airport,42.748299,-73.801697,Albany,US-NY
KALO,ALO,Waterloo Regional Airport,medium_airport,42.557098388671875,-92.40029907226562,Waterloo,US-IA
KALS,ALS,San Luis Valley Regional Airport/Bergman Field,medium_airport,37.434898,-105.866997,Alamosa,US-CO
KALW,ALW,Walla Walla Regional Airport,medium_airport,46.09489822,-118.288002,Walla Walla,US-WA
KAMA,AMA,Rick Husband Amarillo International Airport,medium_airport,35.217857,-101.706444,Amarillo,US-TX
KAOO,AOO,Altoona Blair County Airport,medium_airport,40.296398,-78.32,Altoona,US-PA
KAPN,APN,Alpena County Regional Airport,medium_airport,45.0780983,-83.56030273,Alpena,US-MI
KART,ART,Watertown International Airport,medium_airport,43.991901,-76.021698,Watertown,US-NY
KASE,ASE,Aspen-Pitkin County Airport (Sardy Field),medium_airport,39.223202,-106.869003,Aspen,US-CO
KATL,ATL,Hartsfield Jackson Atlanta International Airport,large_airport,33.6367,-84.428101,Atlanta,US-GA
KATW,ATW,Appleton International Airport,medium_airport,44.258515,-88.519,Appleton,US-WI
KATY,ATY,Watertown Regional Airport,medium_airport,44.91400146,-97.15470123,Watertown,US-SD
KAUG,AUG,Augusta State Airport,medium_airport,44.320598602299995,-69.7973022461,Augusta,US-ME
KAUS,AUS,Austin Bergstrom International Airport,large_airport,30.197535,-97.662015,Austin,US-TX
KAVL,AVL,Asheville Regional Airport,medium_airport,35.435488,-82.541853,Asheville,US-NC
KAVP,AVP,Wilkes-Barre/Scranton International Airport,medium_airport,41.337064,-75.724232,Wilkes-Barre/Scranton,US-PA
KAWO,,Arlington Municipal Airport,medium_airport,48.161448,-122.158442,Arlington,US-WA
KAZO,AZO,Kalamazoo/Battle Creek International Airport,medium_airport,42.232105,-85.549637,Kalamazoo,US-MI
KBBG,BKG,Branson Airport,medium_airport,36.532082,-93.200544,Branson,US-MO
KBDL,BDL,Bradley International Airport,large_airport,41.938555,-72.688016,Hartford,US-CT
KBED,BED,Laurence G Hanscom Field,medium_airport,42.470001,-71.289001,Bedford,US-MA
KBFD,BFD,Bradford Regional Airport,medium_airport,41.8031005859375,-78.64009857177734,Bradford,US-PA
KBFF,BFF,Western Neb. Rgnl/William B. Heilig Airport,medium_airport,41.87400055,-103.5960007,Scottsbluff,US-NE
KBFI,BFI,King County International Airport - Boeing Field,medium_airport,47.527042,-122.29995,Seattle,US-WA
KBFL,BFL,Meadows Field,medium_airport,35.433601,-119.056999,Bakersfield,US-CA
KBGM,BGM,Greater Binghamton/Edwin A Link field,medium_airport,42.20869827,-75.97979736,Binghamton,US-NY
KBGR,BGR,Bangor International Airport,medium_airport,44.806364,-68.826668,Bangor,US-ME
KBHB,BHB,Hancock County-Bar Harbor Airport,medium_airport,44.45000076,-68.3615036,Bar Harbor,US-ME
KBHM,BHM,Birmingham-Shuttlesworth International Airport,large_airport,33.562877,-86.750712,Birmingham,US-AL
KBIH,BIH,Eastern Sierra Regional Airport,medium_airport,37.3731,-118.363998,Bishop,US-CA
KBIL,BIL,Billings Logan International Airport,medium_airport,45.808932,-108.541242,Billings,US-MT
KBIS,BIS,Bismarck Municipal Airport,medium_airport,46.772734,-100.746874,Bismarck,US-ND
KBJC,BJC,Rocky Mountain Metropolitan Airport,medium_airport,39.908798,-105.116997,Denver,US-CO
KBKW,BKW,Raleigh County Memorial Airport,medium_airport,37.7873,-81.124199,Beaver,US-WV
KBLI,BLI,Bellingham International Airport,medium_airport,48.79280090332031,-122.53800201416016,Bellingham,US-WA
KBLV,BLV,Scott AFB/Midamerica Airport,medium_airport,38.5452,-89.835197,Belleville,US-IL
KBMI,BMI,Central Illinois Regional Airport at Bloomington-Normal,medium_airport,40.4771,-88.915901,Bloomington/Normal,US-IL
KBNA,BNA,Nashville International Airport,large_airport,36.1245,-86.6782,Nashville,US-TN
KBOI,BOI,Boise Air Terminal/Gowen Field,large_airport,43.5644,-116.223,Boise,US-ID
KBOS,BOS,Boston Logan International Airport,large_airport,42.36197,-71.0079,Boston,US-MA
KBPT,BPT,Jack Brooks Regional Airport,medium_airport,29.9508,-94.020699,Beaumont/Port Arthur,US-TX
KBQK,BQK,Brunswick Golden Isles Airport,medium_airport,31.258801,-81.466499,Brunswick,US-GA
KBRD,BRD,Brainerd Lakes Regional Airport,medium_airport,46.402861,-94.129727,Brainerd,US-MN
KBRL,BRL,Southeast Iowa Regional Airport,medium_airport,40.783199310302734,-91.12550354003906,Burlington,US-IA
KBRO,BRO,Brownsville South Padre Island International Airport,medium_airport,25.907238,-97.425235,Brownsville,US-TX
KBTM,BTM,Bert Mooney Airport,medium_airport,45.95479965209961,-112.49700164794922,Butte,US-MT
KBTR,BTR,Baton Rouge Metropolitan Airport,medium_airport,30.533199,-91.149597,Baton Rouge,US-LA
KBTV,BTV,Patrick Leahy Burlington International Airport,medium_airport,44.471901,-73.153297,Burlington,US-VT
KBUF,BUF,Buffalo Niagara International Airport,large_airport,42.940498,-78.732201,Buffalo,US-NY
KBUR,BUR,Hollywood Burbank/Bob Hope Airport,large_airport,34.202834,-118.35805,Burbank,US-CA
KBWI,BWI,Baltimore/Washington International Thurgood Marshall Airport,large_airport,39.1754,-76.668297,Baltimore,US-MD
KBZN,BZN,Bozeman Yellowstone International Airport,medium_airport,45.778853,-111.153711,Bozeman,US-MT
KCAE,CAE,Columbia Metropolitan Airport,medium_airport,33.938172,-81.123022,Columbia,US-SC
KCAK,CAK,Akron Canton Regional Airport,medium_airport,40.916099548339844,-81.44219970703125,Akron,US-OH
KCCR,CCR,Buchanan Field,medium_airport,37.9897,-122.056999,Concord,US-CA
KCDC,CDC,Cedar City Regional Airport,medium_airport,37.70100021362305,-113.0989990234375,Cedar City,US-UT
