usps,geoid,name,lat,lon,population
AL,0100100,Abanda CDP,33.091627,-85.527029,48
AL,0100124,Abbeville city,31.564706,-85.259121,2470
AL,0100460,Adamsville city,33.602315,-86.971527,4291
AL,0100484,Addison town,34.202681,-87.178004,651
AL,0100676,Akron town,32.879066,-87.740899,354
AL,0100820,Alabaster city,33.214355,-86.82308,33633
AL,0100988,Albertville city,34.26313,-86.21066,22584
AL,0101132,Alexander City city,32.916719,-85.940589,14686
AL,0101180,Alexandria CDP,33.760819,-85.872008,3420
AL,0101228,Aliceville city,33.123706,-88.159344,2338
AL,0101396,Allgood town,33.907623,-86.516109,788
AL,0101660,Altoona town,34.040014,-86.305179,1211
AL,0101708,Andalusia city,31.309436,-86.478031,8841
AL,0101756,Anderson town,34.915675,-87.274274,309
AL,0101852,Anniston city,33.673469,-85.810891,21377
AL,0102116,Arab city,34.332387,-86.501167,8573
AL,0102260,Ardmore town,34.987838,-86.829022,1444
AL,0102320,Argo city,33.691018,-86.505281,4456
AL,0102428,Ariton town,31.597772,-85.713061,706
AL,0102500,Arley town,34.076234,-87.217831,518
AL,0102836,Ashford city,31.185284,-85.236236,2438
AL,0102860,Ashland town,33.269892,-85.833706,1779
AL,0102908,Ashville city,33.835197,-86.270015,2748
AL,0102956,Athens city,34.779021,-86.950799,27474
AL,0103004,Atmore city,31.124067,-87.457798,8389
AL,0103028,Attalla city,33.986189,-86.121037,5829
AL,0103076,Auburn city,32.607806,-85.494746,78738
AL,0103220,Autaugaville town,32.432563,-86.658752,1119
AL,0103364,Avon town,31.179727,-85.279211,388
AL,0103508,Axis CDP,30.922171,-88.02262,243
AL,0103556,Babbie town,31.302083,-86.319437,559
AL,0103676,Baileyton town,34.260858,-86.608788,976
AL,0103724,Bakerhill town,31.776923,-85.295408,280
AL,0103820,Ballplay CDP,34.023047,-85.801478,1149
AL,0103940,Banks town,31.813264,-85.836434,298
AL,0104660,Bay Minette city,30.894436,-87.791306,8215
AL,0104684,Bayou La Batre city,30.407586,-88.263271,1977
AL,0104852,Bear Creek town,34.255481,-87.713399,1317
AL,0104900,Beatrice town,31.733309,-87.209046,169
AL,0104948,Beaverton town,33.935411,-88.021778,184
AL,0105140,Belgreen CDP,34.47454,-87.861678,33
AL,0105164,Belk town,33.651641,-87.92861,327
AL,0105188,Bellamy CDP,32.463658,-88.131481,190
AL,0105212,Belle Fontaine CDP,30.489492,-88.10594,853
